sku,fields.weight.value,fields.package_height,fields.package_width.value,fields.package_length.value,fields.height.value,fields.width.value,fields.length.value,fields.package_weight.value,fields.abn_size,fields.target_color,fields.frame_color,fields.color,fields.size
2001-AC2-CS-WH-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,White,White,White,
2001-AC2-CS-TQ-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,Green,Turquoise,
2001-AC2-CS-LM-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,Green,Lime,
2001-AC2-CS-NB-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Blue,Blue,Navy Blue,
2001-AC2-CS-TK-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,Beige,Teak,
2001-AC2-CS-RD-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Red,Red,Red,
OP6001-DKBR-3-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Brown,Brown,Dark Brown,
OP6001-WW-3-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Beige,Beige,Weathered Wood,
OP6001-RD-3-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Red,Red,Red,
OP6001-BK-3-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Black,Black,Black,
OP6001-OR-3-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Orange,Orange,Orange,
OP6001-WH-3-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,White,White,White,
OP6001-LM-3-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Lime,
OP6001-TQ-3-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Turquoise,
OP6001-NB-3-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Navy Blue,
OP6001-PB-3-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Pacific Blue,
OP6001-DKGR-3-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Dark Green,
OP6001-GY-3-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Gray,Gray,Gray,
OP124-BK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Black,Black,Black,
OP124-WG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Weathered Gray,
OP124-TK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,blue,beige,Teak,
OP124-WH-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,White,White,White,
OP124-NB-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,blue,blue,Navy,
OP124-TP-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Beige,Beige,Taupe,
OP124-CG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Charcoal Gray,
2001AOC-OR-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Orange,Orange,Orange,
2001AOC-RD-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Red,Red,Red,
2001AOC-GY-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Gray,Gray,Gray,
