sku,group_skus.0
OP6017-CG-TAG,variant-161
OP6017-TK-TAG,variant-161
OP6017-NB-TAG,variant-161
OP6017-TP-TAG,variant-161
OP6017-WH-TAG,variant-161
2001-DB-12-TAG,variant-166
2001-GY-12-TAG,variant-166
2001-BK-12-TAG,variant-166
2001-WH-12-TAG,variant-166
2001-NB-12-TAG,variant-166
2001-RD-12-TAG,variant-166
2001-TK-12-TAG,variant-166
2001-LM-12-TAG,variant-166
2001-SD-12-TAG,variant-166
2001-OR-12-TAG,variant-166
2001-PB-12-TAG,variant-166
2001-TQ-12-TAG,variant-166
2001-DG-12-TAG,variant-166
2001-WW-12-TAG,variant-166
OP6001-RD-12-TAG,variant-171
OP6001-LM-12-TAG,variant-171
OP6001-BK-12-TAG,variant-171
OP6001-DKBR-12-TAG,variant-171
OP6001-GY-12-TAG,variant-171
OP6001-OR-12-TAG,variant-171
OP6001-DKGR-12-TAG,variant-171
OP6001-WW-12-TAG,variant-171
OP6001-PB-12-TAG,variant-171
OP6001-NB-12-TAG,variant-171
OP6001-WH-12-TAG,variant-171
OP6001-TQ-12-TAG,variant-171
OP6002-BK-12-TAG,variant-176
OP6002-LM-12-TAG,variant-176
OP6002-SD-12-TAG,variant-176
OP6002-PB-12-TAG,variant-176
OP6002-RD-12-TAG,variant-176
OP6002-NB-12-TAG,variant-176
OP6002-TK-12-TAG,variant-176
OP6002-WH-12-TAG,variant-176
OP6002-DB-12-TAG,variant-176
OP6002-DG-12-TAG,variant-176
OP6002-OR-12-TAG,variant-176
OP6002-GY-12-TAG,variant-176
OP6002-TQ-12-TAG,variant-176
OP6002-WW-12-TAG,variant-176
OP6020-TK-TAG,variant-181
OP6020-WH-TAG,variant-181
OP6020-CG-TAG,variant-181
OP6020-TP-TAG,variant-181
OP6020-WG-TAG,variant-181
OP6020-BK-TAG,variant-181
OP6020-NB-TAG,variant-181
IA106-BK-TAG,variant-186
IA106-CE-TAG,variant-186
IA106-GY-TAG,variant-186
IA106-DP-TAG,variant-186
IA106-MU-TAG,variant-186
IA106-RO-TAG,variant-186
IA106-DS-TAG,variant-186
IA105-GY-TAG,variant-191
IA105-DP-TAG,variant-191
IA105-BK-TAG,variant-191
IA105-MU-TAG,variant-191
IA105-DS-TAG,variant-191
IA105-CE-TAG,variant-191
IA105-RO-TAG,variant-191
IA4003-GY-2-TAG,variant-201
IA4003-BK-2-TAG,variant-201
IA4003-GY-TAG,variant-201
IA4003-RO-TAG,variant-201
IA4003-BK-TAG,variant-201
IA4003-RO-2-TAG,variant-201
IA4003-CE-2-TAG,variant-201
IA4003-DP-TAG,variant-201
IA4003-MU-2-TAG,variant-201
IA4003-CE-TAG,variant-201
IA4003-DP-2-TAG,variant-201
IA4003-MU-TAG,variant-201
IA4003-DS-2-TAG,variant-201
IA4003-DS-TAG,variant-201
IA4004-RO-TAG,variant-206
IA4004-DP-TAG,variant-206
IA4004-MU-TAG,variant-206
IA4004-CE-TAG,variant-206
IA4004-GY-TAG,variant-206
IA4004-DS-TAG,variant-206
IA4004-BK-TAG,variant-206
IA4002-NB-2-TAG,variant-216
IA4002-BK-2-TAG,variant-216
IA4002-RB-2-TAG,variant-216
IA4002-TA-2-TAG,variant-216
IA4002-GY-2-TAG,variant-216
IA4002-IV-2-TAG,variant-216
IA4002-PK-2-TAG,variant-216
IA4002-BG-2-TAG,variant-216
IA4002-CF-2-TAG,variant-216
IA4001-25-GY-TAG,variant-221
IA4001-25-TA-TAG,variant-221
IA4001-25-BK-TAG,variant-221
IA4001-25-OR-TAG,variant-221
IA4001-25-IV-TAG,variant-221
IA4001-25-TL-TAG,variant-221
IA4001-25-BR-TAG,variant-221
IA4001-25-PK-TAG,variant-221
IA4001-25-NB-TAG,variant-221
IA4001-25-GR-TAG,variant-221
IA4001-25-MU-TAG,variant-221
IA4001-25-RD-TAG,variant-221
IA4001-22-GY-TAG,variant-221
IA4001-22-TA-TAG,variant-221
IA4001-22-BK-TAG,variant-221
IA4001-22-OR-TAG,variant-221
IA4001-22-IV-TAG,variant-221
IA4001-22-TL-TAG,variant-221
IA4001-22-BR-TAG,variant-221
IA4001-22-PK-TAG,variant-221
IA4001-22-NB-TAG,variant-221
IA4001-22-GR-TAG,variant-221
IA4001-22-MU-TAG,variant-221
IA4001-22-RD-TAG,variant-221
IA4002-PK-TAG,variant-226
IA4002-TA-TAG,variant-226
IA4002-BK-TAG,variant-226
IA4002-NB-TAG,variant-226
IA4002-GY-TAG,variant-226
IA4002-IV-TAG,variant-226
IA4002-CF-TAG,variant-226
IA4002-RB-TAG,variant-226
IA4002-BG-TAG,variant-226
2001-CS-BK-TAG,variant-229
2001-CS-DKBR-TAG,variant-229
2001-CS-DKGR-TAG,variant-229
2001-CS-GY-TAG,variant-229
2001-CS-LM-TAG,variant-229
2001-CS-NB-TAG,variant-229
2001-CS-OR-TAG,variant-229
2001-CS-PB-TAG,variant-229
2001-CS-RD-TAG,variant-229
2001-CS-SD-TAG,variant-229
2001-CS-TK-TAG,variant-229
2001-CS-TQ-TAG,variant-229
2001-CS-WH-TAG,variant-229
2001-CS-WW-TAG,variant-229
2001-CT-BK-TAG,variant-234
2001-CT-DKBR-TAG,variant-234
2001-CT-DKGR-TAG,variant-234
2001-CT-GY-TAG,variant-234
2001-CT-LM-TAG,variant-234
2001-CT-NB-TAG,variant-234
2001-CT-OR-TAG,variant-234
2001-CT-PB-TAG,variant-234
2001-CT-RD-TAG,variant-234
2001-CT-SD-TAG,variant-234
2001-CT-TK-TAG,variant-234
2001-CT-TQ-TAG,variant-234
2001-CT-WH-TAG,variant-234
2001-CT-WW-TAG,variant-234
2001-CT-CS2-BK-TAG,variant-239
2001-CT-CS2-DKBR-TAG,variant-239
2001-CT-CS2-DKGR-TAG,variant-239
2001-CT-CS2-GY-TAG,variant-239
2001-CT-CS2-LM-TAG,variant-239
2001-CT-CS2-NB-TAG,variant-239
2001-CT-CS2-OR-TAG,variant-239
2001-CT-CS2-PB-TAG,variant-239
2001-CT-CS2-RD-TAG,variant-239
2001-CT-CS2-TQ-TAG,variant-239
2001-CT-CS2-WH-TAG,variant-239
2001-CT-CS2-WW-TAG,variant-239
OP8001-BK-TAG,variant-244
OP8001-DB-TAG,variant-244
OP8001-DG-TAG,variant-244
OP8001-GY-TAG,variant-244
OP8001-LM-TAG,variant-244
OP8001-NB-TAG,variant-244
OP8001-OR-TAG,variant-244
OP8001-PB-TAG,variant-244
OP8001-RD-TAG,variant-244
OP8001-SD-TAG,variant-244
OP8001-TK-TAG,variant-244
OP8001-TQ-TAG,variant-244
OP8001-WH-TAG,variant-244
OP8001-WW-TAG,variant-244
OP8002-BK-TAG,variant-249
OP8002-DB-TAG,variant-249
OP8002-DG-TAG,variant-249
OP8002-GY-TAG,variant-249
OP8002-LM-TAG,variant-249
OP8002-NB-TAG,variant-249
OP8002-OR-TAG,variant-249
OP8002-PB-TAG,variant-249
OP8002-RD-TAG,variant-249
OP8002-SD-TAG,variant-249
OP8002-TK-TAG,variant-249
OP8002-TQ-TAG,variant-249
OP8002-WH-TAG,variant-249
OP8002-WW-TAG,variant-249
OP8003-BK-TAG,variant-254
OP8003-DB-TAG,variant-254
OP8003-DG-TAG,variant-254
OP8003-GY-TAG,variant-254
OP8003-LM-TAG,variant-254
OP8003-NB-TAG,variant-254
OP8003-OR-TAG,variant-254
OP8003-PB-TAG,variant-254
OP8003-RD-TAG,variant-254
OP8003-SD-TAG,variant-254
OP8003-TK-TAG,variant-254
OP8003-TQ-TAG,variant-254
OP8003-WH-TAG,variant-254
OP8003-WW-TAG,variant-254
OP8004-BK-TAG,variant-259
OP8004-DB-TAG,variant-259
OP8004-DG-TAG,variant-259
