sku,fields.weight.value,fields.package_height,fields.package_width,fields.package_length,fields.height.value,fields.width.value,fields.length.value,fields.package_weight,fields.abn_size,fields.target_color,fields.target_sku,fields.frame_color,fields.color,fields.size
OP6023-GY-TAG,38.0,22.0,34.0,7.0,36.75,29.5,33.0,42.0,,Gray,WWT209915,Gray,Gray,
OP6023-WH-TAG,38.0,22.0,34.0,7.0,36.75,29.5,33.0,42.0,,White,WWT209924,White,White,
OP6023-2-TQ-TAG,76.0,22.0,34.0,7.0,36.75,39.5,33.0,84.0,,Blue,WWT209937,Blue,Turquoise,
OP6023-2-WW-TAG,76.0,22.0,34.0,7.0,36.75,39.5,33.0,84.0,,Brown,WWT209939,Brown,Weathered Wood,
OP6023-2-GY-TAG,76.0,22.0,34.0,7.0,36.75,39.5,33.0,84.0,,Gray,WWT209929,Gray,Gray,
OP6023-2-DB-TAG,76.0,22.0,34.0,7.0,36.75,39.5,33.0,84.0,,Brown,WWT209927,Brown,Dark Brown,
OP6023-2-WH-TAG,76.0,22.0,34.0,7.0,36.75,39.5,33.0,84.0,,White,WWT209938,White,White,
OP6023-2-NB-TAG,76.0,22.0,34.0,7.0,36.75,39.5,33.0,84.0,,Blue,WWT209931,Blue,Navy Blue,
OP6023-2-BK-TAG,76.0,22.0,34.0,7.0,36.75,39.5,33.0,84.0,,Black,WWT209926,Black,Black,
OP6023-4-GY-TAG,152.0,22.0,34.0,7.0,36.75,29.5,33.0,168.0,,Gray,WWT209943,Gray,Gray,
OP6023-4-TQ-TAG,152.0,22.0,34.0,7.0,36.75,29.5,33.0,168.0,,Blue,WWT209951,Blue,Turquoise,
OP6023-4-WW-TAG,152.0,22.0,34.0,7.0,36.75,29.5,33.0,168.0,,Brown,WWT209953,Brown,Weathered Wood,
OP6023-4-WH-TAG,152.0,22.0,34.0,7.0,36.75,29.5,33.0,168.0,,White,WWT209952,White,White,
OP6023-4-NB-TAG,152.0,22.0,34.0,7.0,36.75,29.5,33.0,168.0,,Blue,WWT209945,Blue,Navy Blue,
OP6023-4-BK-TAG,152.0,22.0,34.0,7.0,36.75,29.5,33.0,168.0,,Black,WWT209940,Black,Black,
OP6023-4-DB-TAG,152.0,22.0,34.0,7.0,36.75,29.5,33.0,168.0,,Brown,WWT209941,Brown,Dark Brown,
OP6023-8-GY-TAG,304.0,22.0,34.0,7.0,36.75,29.5,33.0,336.0,,Gray,WWT209957,Gray,Gray,
OP6023-8-BK-TAG,304.0,22.0,34.0,7.0,36.75,29.5,33.0,336.0,,Black,WWT209954,Black,Black,
OP6023-8-WH-TAG,304.0,22.0,34.0,7.0,36.75,29.5,33.0,336.0,,White,WWT209966,White,White,
OP6023-8-DB-TAG,304.0,22.0,34.0,7.0,36.75,29.5,33.0,336.0,,Brown,WWT209955,Brown,Dark Brown,
OP6023-8-TQ-TAG,304.0,22.0,34.0,7.0,36.75,29.5,33.0,336.0,,Blue,WWT209965,Blue,Turquoise,
OP6023-8-NB-TAG,304.0,22.0,34.0,7.0,36.75,29.5,33.0,336.0,,Blue,WWT209959,Blue,Navy Blue,
